sentiment,content
worry,need job badly
sadness,daaammmnnnnn wish
worry,go di bella coffee roaster today ask job person need speak holiday fb
sadness,play part voodoo village co op lose usual partner
sadness,bad friend
neutral,happy birthdayyy hope awesome day night
hate,m shit right m vacation get workin
neutral,ill oir
neutral,guess girlie gym work
hate,wish severe migrain stop doc prescription not work
love,miss game
sadness,internet night er brill massive explosion end nearby gas work er standby
hate,cuz airline super lame
sadness,pity come lamb
sadness,sorry hear optimist thing well
relief,paint bedroom furniture table wait uggh move heat
hate,tired insomnia
neutral,hungry fool ill probably krispy kreme enjoy close
neutral,airport not tonight homo
hate,hate bakersfield hate port let home want start vacation
neutral,
neutral,look desktop twitter app actually let access url suggestion like twittle link
worry,people house know close door
surprise,complete facebook quiz time morning especially friday morning
neutral,amp soooo hungry
worry,like possibility left brain hurt thing call vp shunt possible death
sadness,cancel wow
worry,want music profile money know write music know play instrument studio
sadness,yeah sad account love account bit
worry,hear helicopter fly house kind weird news headache booooo
worry,oh
neutral,school ms suhana day ft ocu okay play altnoy
neutral,poll try work powerpoint avail
happiness,take math test today day test teacher say bring calculator luke confident teacher decide calcs
happiness,omg concert awesome madrigal give chill piece brooks call alumnus not
neutral,yeah terrible cockatoo hard live emotional good thing find
sadness,late nothin
worry,think vog make sicker think feel slightly achy
worry,homework sux big time math bad
neutral,well imo let play song provide start black
neutral,start
sadness,wish thing way beginning summer
worry,download new twitterfon update thinking fix type problem new tweet
sadness,feel way guess matter meme
happiness,minute treadmill minute today go to minute
worry,sooooooooooooo confuse
neutral,friend like vaiko nedumaran ltte need enemy wrong advice wrong time lead numerous death amp lost cause
worry,work day
happiness,chillin roomie wait zombie clwn cr go to week
neutral,looove guitar play think sound magnificent well
worry,refund retrieve account take like week hope thief use hack permaban
neutral,m cry lol
sadness,cute malay girl come seemy room rent sadly think guyfreind bit misleading disappointing lol
surprise,epicentre wheelock place unit amp tourist start today
hate,hate new mt dew commercial giant mosquito scare gross time
neutral,come knight hour
worry,super keen drive home rain additional concentration require wanna deal
surprise,aw u let secret
surprise,m sorry think stick compare look like
worry,transport church will not make m crush oh time assignment suppose throat hurt
hate,hate pregnant woman smokinggg sooo irresponsible n selfish saaad ultimately baby suffer
hate,lie lie lie not avoid lie practically
neutral,twittascope rock sock away
neutral,drive home forget piece cake
worry,tried jump trampoline like thud thud eat cookie
sadness,everytime send email coach feel need practice shitty ball lol
sadness,piss let follow ericka
sadness,go sleep peaceful want hear good night happen good night
sadness,mum try feel ebtter stop vote adn win shortstack cry
neutral,close taco spot late
surprise,think work
worry,forget live jonas brother facebook
sadness,see muffin day
sadness,miss regard
surprise,gap year go quick
worry,admit bit bummed friend walk today
neutral,girl blunt soooooooo thought right absolutly great day stressor come home
worry,twitter hack
sadness,find mj mouse flat djs course leave size
neutral,will not time buy need new binder pa
hate,hahaha try ugly
neutral,man ulduar hard
worry,want know know vhemt miss
fun,awesome weekend move sat lot fun
neutral,night night twitter world not believe thomas thing tomorrow gunna fun sad
neutral,happen
surprise,oh hug
neutral,bore talk busy kinda bummer idk
sadness,knoww thing will samee
worry,omg ness pm need beup early set garage sale start wish say beat
happiness,kno doooo you partyin
worry,okay twitter suddenly change respond message
neutral,ugh dad tell read article kavya shivashankar spellin bee girl like
worry,decide matter good hair look curly justify burn curler hand cover suck
sadness,go sleep go to fall asleep playing app tmrw go suck
neutral,yea get to
hate,hate bf beat da dog guess way teach pitt
worry,sprain ankle like badly tear stuff hurt birthday weekend
sadness,believe metal gear solid song steal disappointed
hate,think break toe bar tonight thank drunk girl steppin
neutral,sale today work explore balcony big theater w coworker fun day void chili fry tip
sadness,wish leave dead need play
neutral,
neutral,story remind live portugal
neutral,diabetic dad amp sure allow eat sugar day
happiness,spill beer leg waste half beer home meet cute girl good conversation
hate,roommate love ignore
neutral,nachos tomorrow well
neutral,yeahhh judge pillow
relief,scary lightning thunder glad go sleep hope late school tomorow haha
sadness,tooth head hurt
sadness,hate rob zombie movie amp smell weed vommmm
hate,math science strong think dunno bout geography like day study year work
boredom,wait line tryst
worry,hope job cuz need apartment drunk amp miss lil punkin tehe
worry,get home want read chaper break dawn cause not want beover
worry,need hold gnite
worry,hang sam billy veronica go school tomorrow sam body shop dang car accident
sadness,arrest development sad
neutral,wicke time leave come not stay night
sadness,omg lose follower sad want day that goal d
sadness,feel deflate doggy
worry,wanna hair s
sadness,trash mac difficult thing life picture go
sadness,m contact paw philippine find new owner m sad love dog soo
sadness,get home want read chaper break dawn cause not want
worry,aww pray arroyo family
neutral,manual process take outlook database pffff crappy msft product
sadness,fuuudge movie store close
sadness,alo sad quiet tonight
hate,hahahaha horrible singe sure work wish afford drum set
worry,answer dm send need info
worry,try pilot season friday night light oh gosh pass tissue
sadness,aw head cancel trip aussie
worry,cystic lacrimal infectection eye face swollen hurt
worry,think catch
neutral,oh nevermind think thing unsalvageable
neutral,lyin bed faaaaar early
sadness,sad christian lacroix file bankruptcy
sadness,not feel good fuckkk
boredom,agree work double shift
worry,look like zoo
worry,ohh poor girl email rely october mr
neutral,medhurst play
worry,bad time
hate,aarrgghh hose leak water new float floor
sadness,dread dmv tomorrow
neutral,bit ben thai ed
happiness,english class work interactive oral
worry,thank rec work
neutral,sorry excite tomorrow night karaoke get special bday
worry,puppy gizmo haha growl look long pruple scar fingie
worry,know m work tomorrow wit body dis sore ugh
neutral,
neutral,yeah plus little far walk pinocchio sushi
worry,feel pressure head kick nasty headache look forward
sadness,taylor swift joe jonas look good kinda sad break
worry,suppose turn sentence outline research paper hour online neck hurt
worry,lady way miscarriage prayer
sadness,god want sleep
hate,ohhhh thunderstorm boo power
worry,feel deflate doggy
sadness,find book start real paper bind journal tonight annoying zit lip make look like herpe
hate,ratt rock nashville tonite thing suck encore like fun pearcy hott bad boy look
worry,feel bad get bad news mum
sadness,dun wanna
sadness,damn girl ya get to let know kit amp get flyer weekend
sadness,dbl booooooo sick flippin blow bahaha kno not friend feel lame haha
neutral,s think time go to
neutral,peep fun time get to sleep tho work cool hot chick cool miss
worry,feel like work think tweet
sadness,feel sick stomach idkk whyy
worry,vineri nimic special sau probabil un alt weekend pierdut
neutral,count hour lose sunshine weekend
surprise,dude see sf pic look like mini excursion pretty kick ass sun tho
relief,home safely hungry
sadness,um throw van yesterday take er
worry,get final table go think get free seat
neutral,good morning work morning gutte lol nevermind
hate,work morning friend party stupid bberry lite flash red message
happiness,fb boring wanna sing right
sadness,link work
neutral,hahaha know power lol live bubble
worry,humpalow um ya think cell die
worry,day work sick bone
worry,feel like house arrest
neutral,love like begin hard end fiuuhh
surprise,ur suppose bk tho
worry,know shortage shell crab use beach beach comber sad
surprise,oh nighty night
happiness,new music will sleep chapter die hurry
sadness,stupid tooooth hurt
love,love song song think
neutral,ready school
sadness,computer break break laptop use phone ahh cause fuck order
neutral,good holiday chalet sight look v similar one go home today
worry,sad economy hear friend lose job sad reminder
worry,start feel panicky anxious bad happen cos like age
worry,dog run awayyy
hate,suck bad
worry,molar extract swollen face numb toothache sinus pain
relief,finish hour texas life insurance ce tonight hour
worry,know good rap song need rap fun cd idea helllllpppp
love,want peru summer ahhhhhhh hopefully yesyesyes miss
sadness,awake anybody awake wish live fun happen asleep
hate,charle power lol damn savemart lose power buy beer
sadness,heehee love tired
worry,mobile phone refuse charge battery break chargerrr booooo
worry,oh wish sign send let meet
worry,hmmm think u sleep bad video tomorrow night
sadness,morning sorry go early night bad news feel totally crap today new day
sadness,wish parent chinese school young easy job
relief,yeah physically move apparently report directly mr hayward
neutral,airport not tonight homo
worry,jealous look like schindler list toronto
enthusiasm,want tatt
neutral,come erock leave bah d
enthusiasm,need lot money tomorrow
sadness,room make sad
worry,nearly fall asleep jolt bed massive panic attack sure sleep
neutral,gay tonight
sadness,oh completely forget thirsty thursday oh gaga suck
sadness,people wrong world blame people great world live shit
surprise,nope sleep cuz live east coast
neutral,bet cool sr huh stop sweat noon dad pack
sadness,eww dislike
worry,tactical mistake go city library buy milk know ouch ouch ouch maybe good thing try uni
neutral,decide trans frm relax natural hair wish head look like root age instant gratification
sadness,sorry bout cat
neutral,need increase salary
worry,stomach feel like touch ground
love,pug wake incredible sleep
love,wait hear new album sure replay love
worry,sooo work little time
sadness,miss iron chef
sadness,ds version suck
sadness,bad day
enthusiasm,know ridiculous get hang love chicago want shop trip sound like fun
hate,hate net ayaw bumukas ng twitter
worry,ugh internet
surprise,omg not tweet today sadness
worry,feel giddy wanna home
neutral,week not adam lambert performance
neutral,link work
worry,pack day youth camp
neutral,gossip girl come chaceeeeeee
neutral,smh hiphop nursery rhyme
worry,somebody save polar bear
happiness,noooooooooooo look lot picture lol lol
surprise,sleepy bored right word work
worry,come attention friend recently gain ton weight know
worry,guess m stay home tonight movie ing
sadness,go cd store search cd
worry,remind weather month ago horrible hope hug
sadness,miss mom angel lead
love,android twitter app tweetie calibre
hate,jacksonville beach walking cold ass water work morning ily
neutral,
sadness,feel way day
sadness,sleep suck day sleep shop mom ugh
neutral,get home till tmw comcast right not miss
sadness,sleppytime miss godfather right love wayne
sadness,headache right suck
worry,hope ya sleepin guy
fun,finish color drawing come
sadness,laker baby laker miss game tmwr work post
sadness,comfort food day pan mee not taste good
worry,damn drunk hot suck
sadness,miss baby
worry,sleep paperwork
worry,shower ice cold water sweat mean thing sick
worry,midnight cry wish person want want right
neutral,need follow real quick cause dm
sadness,poorly sleep
worry,go pole class feel discourage hopeless cone dance sexy move spread leg
worry,poor unfortunate soul appear pant
worry,tell wash hair speak
worry,look like sleepless night dedicate homework sorry advance ms chapman
worry,u lot mock
worry,not goodnight
hate,pussy damnit send e mail right btw
sadness,work tom
neutral,hongkong international airport wait hour flight cebu
neutral,sleep nothing tv
love,pic uploaded baby pic cat missy adult pretty little kitty batty kitten heaven
neutral,oh superseede good
sadness,today goodbye second good friend week dmp sun shin definately work pm
anger,transtelecom
boredom,bored guess bed
worry,meet stranger min ago stalk store
surprise,tee beefin u suppose leavin
sadness,thing hurt one love unintentionally fix
sadness,suck
neutral,iiii know mean
sadness,have fever not feel work
worry,take horse pill hope sleep tonight
neutral,pgpm student pgpm student year wish stay
sadness,miss day pass quick
hate,hey school hate place
sadness,work home today kill doctor physio later today
neutral,work distraction
happiness,demi hi replay love
neutral,awwww notice
neutral,suck state start tomorrow m headin bed nitey nite
worry,look like go nice work today annoying choice
neutral,guy set list forget ask xx
neutral,impression silverlight sadly base see today problematic
worry,desperatly hope dad take vanessa game
worry,hi fuck job
sadness,miss deeply
neutral,time bed work
happiness,big vanessa go september go fast hard cuz m workin miss alot
sadness,sniff sniff care ravel hopefully chat soon mean time hella miss
neutral,lucky want teleport
worry,somebody save polar bear
worry,nose runny head pound tooth hurt like bitch man feel awful
sadness,want leave
relief,headin home refresh mind soul justa lil bit bac reality
happiness,good lord see agency work upcoming open day money jam
anger,work fridaaaayyyyy
worry,grove drag hell hope suck
worry,feel like shit say happy belate birfdayy month late
sadness,lmao thats sad kinda discourage goin shit wack
surprise,get home work finish clean need eat dinner know want ugh oh eat
sadness,wish
sadness,miss little batty month old get sick fun life end
neutral,fc finally time hate keep happen
neutral,seriously bored talk tired sleep
sadness,morning hate morning offensive
neutral,computer break omg
sadness,bed bed bed answer text anymore think day send hear sad day
neutral,u
sadness,waah long peep
sadness,lol wow dawg sound like play feel bad haha
surprise,extremly deep
happiness,little foster kitten get big chubba winston go b miss amazing home
enthusiasm,week till exam block
neutral,home cat right
worry,hope fail english sad
worry,know great shoulder stop hurt sleep normal want need solid hour good sleep
neutral,leno tonight like well conan
sadness,sorry bad driving experience
neutral,
sadness,miss
hate,plan change nooooooo
hate,sister douchebag
surprise,reliste fee complete sale suck
neutral,random
worry,know wear sar mask plane socal feel beginning sore throat
sadness,gutte bathroom early work go happen need loo
neutral,july long
worry,awww wish stuck jab eye knitting needle
surprise,wonder mnet
neutral,wear glass give headache
enthusiasm,stop talkin food haha fill like sum nw hha s day goin start
worry,finish sew night upload picture slidebar beach not believe have difficulty twitter
sadness,thank not wait ummm btw m crash sick
sadness,work computer home laptop fuck
worry,liesgirlstell guy call phone number real ohh phone work try tomorrow
worry,beer friday melbourne cbd mtub mini cmon thirsty lonely bugger make feel like scotty mate
worry,know come lose lead minute
worry,gosh summer vacation philippine kinda sad wonder section
neutral,page ms twitterworld vote
worry,bummed wear sweet nike kick work
worry,twitter break
neutral,sleep good night tweetie oc tomorrow hope pray rachyl get well soon
sadness,depressing stuck inside day
worry,see news feed archie website believe choose veronica disappointed
sadness,hate sick miss
neutral,m eat slider barjohnny pork tho beef search
happiness,get ready school second math test today day year week officially year
sadness,wake wanna stay bed
worry,depressed include morcom gardens quiz facebook
worry,yeah totally high soooo notlooke forward aug sept
sadness,upsidedown tomato plant die
boredom,deep priece soul
worry,oh come week week exam
neutral,friday fun skint
worry,know tell not know dad tell famz think take online
sadness,iht early icant wait long ahar
happiness,friday yay bonus drive wale tonight athough miss kitten cuddle go ride
worry,child promise birthday brekkie bed problem bugger food house
worry,woop realize dms go
neutral,think able bed tomorrow morning seeeee
surprise,not use blackberry today suck
enthusiasm,q studio create open season google look dvd downstairs feel lazy
neutral,time change
sadness,hate
hate,time tv spend day catch study hate online summer class
neutral,video available foreigner
sadness,want visit animal late
worry,pc agree problem stop spend work
sadness,jonaswebcast miss
hate,dang look like crap sigh shower ready
neutral,wait pick
sadness,exhausted sleep like night
sadness,go to miss live comet action tomorrow care cousin access interwebz
surprise,lol not drink
surprise,bill compton wii twitter
sadness,sorry hear
worry,morning sport day today legged race mr pettigrew say aloud trip
sadness,find drink bar booo miss palomino cheer sad face
worry,sleep hour tossing turning
worry,omg go die swine flu melbourne
anger,pack like
neutral,dang certain okay
neutral,wish dave gilmour roger water unite pink floyd concert
sadness,finish box ice cream
neutral,horse town blow car speaker
neutral,cofffeeeeeee
worry,plus deposit tax return cheque time year clear immediately
love,photo martwo omg love accadentally delete photo yay s beautiful
worry,knooww amp hot water bottle iss whangamata ahhhhh
neutral,nose stuffy
neutral,night newport
relief,thank rt sorry new place domestic
happiness,ok shoe club cool fun poppin ppl tryna dance wit
worry,holy crap rain la jacket oh
neutral,aright twitter fam guess m outtie go to try n sleep horrible pain
neutral,baby recieve vaccine
worry,wish attend year small event like nba stanley cup final get way work work work
happiness,lol hi emmy latin help study aptitude test grad school s wanna
sadness,btw wimp
relief,lol yeah yeah big perv hope week scrap plan
worry,reject food substance
worry,try interview dr paul twomey ceo icann phone issue cut interview min
sadness,add myspace girly ask email
hate,vienna sooo tired luggage lose manchester great good outcome seminar mbs amp great people
worry,think needle watch horribly gory short film drug month ago scarred life
sadness,wanna work sleepy time
worry,feel good
neutral,watch big loser hallmark fail cry nyeh
neutral,suck old actually
worry,think get work
neutral,confuse
worry,naughty girl tonight dissappointe
worry,well missy tell big loser
sadness,noooo go orlando omg go to cry
surprise,aaaaaahhhhhhhh soooooooo sweeeeeeet miss age soooo
surprise,see fox get freeway hope go home
neutral,scratch sleep stage bind
surprise,recap britain get talent britain talented america
neutral,cnt goin ur old message
love,good time rock open mic thank love n support work business plan presentation cg
neutral,swimming
sadness,morning john yes diary clash sadly attend
sadness,miss friend
neutral,ohh ic ic haha iyaa summer fill course last summer
sadness,yea see sad commercial
sadness,hmmm tinytwitter small non touch screen fun
fun,lettuce amp spinach well cool weather live florida luck grow
neutral,
love,oh love think kind preservative stay kinda make sick
neutral,unfortunately
worry,new lens work work bit give fee error
sadness,hate have sleep
neutral,
worry,school weekend oh wait get to work tonight
sadness,love johnny carson go hate see jay leno
sadness,want newish song teacher agree s old grumpy like happy haha
worry,english essay wtf long time ago assign thursday
worry,think
sadness,ya suffer day yesterday meet dentist feel bit well look like rocky balboa
worry,end eat snack sigh
surprise,finally internet server phoenix fuck
neutral,up ketauan cabut nih gimana dong
worry,sorry guy drop trip personal commitment
sadness,callback play cry oh guess techie
happiness,awesome wish fly
sadness,kinda wish go fall asleep
relief,nope het
worry,rocky cola diner whittier tonight teacher pal mr b great time chat come
neutral,bed exhaust vegas
love,lol true maybe year looove siggy remember password mod thing cake
worry,ummm sooo yeh hard concentrate rite wen weird lupus feeling goin thro body
worry,ouch look painful
neutral,take hour nap work today will able sleep night bummer
fun,know enjoy watch twitter entertaining comic miss
neutral,love lil ken absolutely dread say goodbye week
sadness,sorry
worry,want sit amp relax little difficult
worry,think good friend
neutral,hii wake go school
sadness,fall asleep know feel lol drag hell tonight excited
worry,god not catch public transport swine flu shit house
worry,dad say trip uk cancel da swine flu ooop sorry abang
neutral,ask karma point
love,hahaha alright
hate,g wake early think dad want food
happiness,la need lemon tree
sadness,um think text msgs fail
sadness,tummy ache
surprise,math quiz meow allergy meow allergy
love,want friend
worry,far away know
neutral,said slate jelly
happiness,work oh yeah
neutral,invite come beta key go help
neutral,live
sadness,sorry andrew wish
sadness,finsh work allowd cauz not want lol
sadness,chaseton die heart sad
happiness,interesting recap tomorrow sleep work
worry,o feel like hot box matter feel like hot box ice cream work n e
worry,sad well grandma
worry,uuuugh hate
worry,gosh today weather horriterrible extreme hotness lose lot water weight
worry,take moment reflect want annonymity fb safe friend
surprise,hey peter thank follow sydney pastor tweet shame bris pastor twitter
neutral,not m sister house tonite
neutral,damn hi facebook wrong add photo
surprise,aku kbangun mimpi bad dream
neutral,follower follow love pout
worry,aww annoying
neutral,not wii b like xbox use
sadness,sleep darn frustrating
neutral,not tonight
fun,bff rock hotel california song stay hmmm careless whisper
sadness,day loneliness creep slap face
sadness,rip kelly fucccccck
worry,vacation let
worry,think m ignore good friend jake hate ignore b know thing
love,love way end have time week sooooo sorry week sure
neutral,episode jay leno ll nite twitter
sadness,feel good
sadness,ok time nodd go to long day tomorrow say goodbye car good
neutral,fakin kisha luck
worry,take nap work sleep right nap feel soooo good like bad idea
worry,go home seriously
enthusiasm,count minute dad g friend leave
sadness,miss oklahomaaaaa listen citizen cope til pass
neutral,tense emotional
enthusiasm,fun miss guy lot
worry,make sad
neutral,play game watch straight people hook leave reason
neutral,yeah work today mind day sun sun sun
worry,feel like m go cough lung
sadness,funny kinda sad day
neutral,think remember
neutral,get jbs live chat vid school see joe hug tackle nick lol
sadness,jenny fall asleep come
worry,love
sadness,wish tease movie night
worry,lose follower night like
sadness,miss year forbidden fruit tree garden munch disappointment
worry,want new phone see cellphone commercial
worry,soo sad edge page go to come cry
worry,time need shut go sleep head ache badly
sadness,love knw gna cut stuff tv
neutral,becuz braggin
sadness,m strict diet ugh feel like cheat day ill throw
worry,oh hub sick hope catch
neutral,ze franz friende think think creepy stalker sommat hmph
hate,take horrible shoe mum urgggh nasty footwear problem find shoe
worry,run money r sad panda
neutral,find today kiss
sadness,cal dachshund rescue find home foster pup max soooooo sad leave
sadness,wow feel like ish feel bad ignorent ahole will not overturn prop
sadness,work finish pm booooo
sadness,wish tease movie night
worry,get to wiat till week btw mumbai
neutral,not know tired today bye time beddy
sadness,maybe drink feel massive hangover yself today
worry,bad head ache go to bed maybe bye bye
worry,friend traveller tale hold farewell party kinda disappoint sep fault
hate,night talk victor bored night grrrr hate shit
enthusiasm,go die tomorrow night
neutral,ooh maggi goreng yums not eat sore throat cmin
hate,go to try catch z high school tomorrow suck wish grow
neutral,morning hon have breakfast not decide
sadness,sleep lose voice couple day ago
neutral,mention bf bubble wsop employee event hrs aa working double week
sadness,sleepy early not matt
love,big day xt launch amazing free stuff thanx edge telecom find phone want cnt afford tho
worry,oh yeah poor person not joke poor people
sadness,realize spell wrong tweet hate
neutral,go
worry,oh hope get well
worry,crew not not think wrong number time
sadness,glowing face complexion pale
sadness,downloadfestival lineup good think awesome band festival miss dl
worry,watch gossip girl ageeee need tree hill season god slow
relief,cycle tho good healthy eat healthy eat contradiction term
hate,sooo kinda o sick n tired bs guy dish
love,hate fleetwood favorite band jealous ok love haha
surprise,wish carlton game live stupid channel lol
worry,early tomorrow head bed say go midday nap happen week
neutral,up ketauan cabut sama nih
love,bt gamer like year attempt lol yea luvd extent
neutral,pm friday leave thursday surely
worry,sorry ya get to let know book week
happiness,hahaha oh man come pomona love everyday instead like year
worry,miss come michigan like wait till july
neutral,maybe good night sleep
worry,farrrrr pdhpe assignment week english homework
worry,forget access card lazy fetch
neutral,yea tough go sure worth
fun,dissapointment hhaha
worry,hun okay alot post exercise like mad eat sleep
sadness,oh tweetdeck malfunction il web fixd
sadness,sorry sick u know know u guess
sadness,adam samberg new moon trailor good evening bad cable friday
worry,happen afraid miss large story
neutral,work
neutral,hell yes late
worry,dell pc ip audio device teradici give hard time linux ubuntu jaunty kernel not load snd hda intel drv
sadness,get ass kick tripoly lol get bad card suck
fun,creep ice cream social good time lar real girl sad movie
worry,sooo hot hufff
worry,closeness distance closeness distant
sadness,annnnnnddd bite dust
worry,ahhhhh right dvd break
enthusiasm,hey love acs online not wait buy look amazing
worry,thought dwell certain person
worry,fml work uniform washing line
worry,ohh shit realize talk b like dat time
sadness,write fuck idea day day
worry,naw not match lol shenanigan discuss thing
worry,unfortunately
worry,dude know personal experience sorry like go
worry,aww randomly wake sleep thing mind
worry,baby miss
neutral,obviously live alaska radio station
hate,murder fucking mouse not sleep
neutral,oh no hey tatoo
neutral,vcr
sadness,wish time xbox project tie
worry,pancake end soggy
